Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Блин Дашь,кафе-столовая быстрого питания,Кафе; Столовые,"Итыгина, 9 к5",,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-15:00,+07:00,4.8,15,89130546244,,,,,,,,https://wa.me/79130546244,,,,,,,,53.717912,91.402327,https://2gis.com/firm/70000001075093268
Кухня,кафе,Кафе; Доставка готовых блюд; Банкетные залы; Быстрое питание; Пиццерии,"улица Тимирязева, 9",1 этаж,662603,,,Минусинск,Минусинск городской округ,Красноярский край,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.8,74,83913245300,89538545300,,,,,,https://vk.com/club200934229,,,,,,,,,53.689349,91.672148,https://2gis.com/firm/70000001063966631
Юрта,кафе,Кафе; Доставка готовых блюд,"улица Тельмана, 92 к4",,655001,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00 (служба доставки: пн-вс 11:00-22:30),+07:00,4.1,52,83902322000 (служба доставки),89020141000,,,,,,https://vk.com/urta19,https://wa.me/79020121035,,,,,,,,53.732702,91.434349,https://2gis.com/firm/70000001065221042
EzzyLazy,кафе,Кафе; Доставка готовых блюд; Пиццерии; Суши-бары,"улица Генерала Тихонова, 10Б",,655163,,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.8,329,313232,,,ezzylazy@mail.ru,,http://ezzylazy19.ru,http://t.me/ezzylazy,https://vk.com/ezzylazy,,,,,,,,,53.829812,91.339468,https://2gis.com/firm/70000001066323976
Food & Bar 114,ресторан,Бары; Рестораны; Кафе; Кейтеринг; Банкетные залы,"Кирова, 114 ст1",2 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+07:00,3.8,95,83902306039,,,catering@asia-hotel.ru,,http://foodbar114.ru,,https://vk.com/food_bar_114,,,,,,,,,53.727194,91.435691,https://2gis.com/firm/70000001019238461
Zёrna,кофейня,Кофейни; Кафе-кондитерские; Кафе,"улица Ивана Ярыгина, 21",1 этаж,655001,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,4.3,175,89232106549 (гастро-кофейня),,,,,,,https://vk.com/zerna_breakfast,https://wa.me/79232106549,,,,,https://t.me/+79232106549,,,53.727163,91.431067,https://2gis.com/firm/70000001062938364
Греем Счастье,кофейня,Кофейни,"проспект Ленина, 77",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 07:30-22:00; Вс: 07:30-22:00,+07:00,4.1,74,89832639291,,,2639291@mail.ru,,,,https://vk.com/greem_schaste,https://wa.me/79832639291,,,,,https://t.me/greem_shastie,,,53.721121,91.434989,https://2gis.com/firm/70000001046504435
Green house,кофейня,Кофейни,"Линейная, 249",1 этаж,655152,Искожевский квартал,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 07:30-22:00; Вт: 07:30-22:00; Ср: 07:30-22:00; Чт: 07:30-22:00; Пт: 07:30-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,3.7,69,,,,,,http://www.grnhs.ru,,https://vk.com/greenhousechernogorsk,,,,,,,,,53.820978,91.332811,https://2gis.com/firm/70000001057547969
Emporio,кафе-кондитерская,Кофейни; Кондитерские изделия; Кафе-кондитерские,"улица Чертыгашева, 73",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+07:00,4.4,133,89235929526,,,evgenia.dolinina@yahoo.com,sofiya.korus@yahoo.com,http://emporioabakan.2gis.biz/,,,https://wa.me/79235929526,,,viber://chat/?number=79235929526,,,,,53.724669,91.443778,https://2gis.com/firm/70000001019716907
Перцы,кафе,Кафе; Доставка готовых блюд,"проспект Ленина, 88",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 07:00-01:00; Вт: 07:00-01:00; Ср: 07:00-01:00; Чт: 07:00-01:00; Пт: 07:00-01:00; Сб: 07:00-01:00; Вс: 07:00-01:00,+07:00,3.4,670,83902350505,,,,,http://limerickgroup.ru,,https://vk.com/peppersabakan,,,,,,,,,53.722469,91.443115,https://2gis.com/firm/70000001033429374
Сицилия,семейная пиццерия,Пиццерии; Кафе; Доставка готовых блюд,"улица Торосова, 7Б",4 этаж,655016,9-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-24:00; Вт: 10:00-24:00; Ср: 10:00-24:00; Чт: 10:00-24:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00 (служба доставки: пн-вс 10:00-23:00 ),+07:00,3.9,223,88007377778 (служба доставки),89293190909 (администратор),,,,http://abakan.pizza-sicilia.ru,,https://vk.com/pizzasicilia,,,,,,,,,53.737637,91.418155,https://2gis.com/firm/70000001056388520
Перцы,кафе,Кафе; Доставка готовых блюд,"проспект Дружбы народов, 16",1 этаж,655010,2-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00 (служба доставки: пн-вс 11:00-00:30),+07:00,3.6,548,83902350505,,,,,http://limerickgroup.ru,,https://vk.com/peppersabakan,,,,,,,,,53.737909,91.434831,https://2gis.com/firm/70000001007218387
Смородина,кафе-пекарня,Кафе; Пекарни; Кондитерские изделия,"Ленинского Комсомола, 75",,655001,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+07:00,4.2,83,89012366600,,,,,,,,https://wa.me/79012366600,,,,,,,,53.727194,91.428303,https://2gis.com/firm/70000001075885586
Red bar,бар,Бары; Кафе; Банкетные залы; Ночные клубы,"улица Кати Перекрещенко, 18в",цокольный этаж,655010,2-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-16:00; Вт: 11:00-16:00; Ср: 11:00-16:00; Чт: 11:00-01:00; Пт: 11:00-03:00; Сб: 16:00-03:00 (по предварительному звонку),+07:00,4.1,99,83902305777 (служба бронирования),89333330242,,,,,,https://vk.com/red_bar_best_hit_history,https://wa.me/79333330242,,,,,,,,53.742123,91.436806,https://2gis.com/firm/70000001059235779
Хванчкара,хинкальная,Кафе; Доставка готовых блюд,"улица Чертыгашева, 69",цокольный этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+07:00,3.8,266,83902322777,,,,,,,,,,,,,,,,53.724657,91.445401,https://2gis.com/firm/70000001035924196
Bushman Kitchen,ресторан,Доставка готовых блюд; Кафе; Рестораны; Бары,"улица Торговая, 7 ст2/1",,655010,4-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,4.1,231,83902323292,89509669377,83902320230,,,http://Bushman-pizza.ru,,https://vk.com/club213868856,,,,,,https://t.me/bushman19,,,53.742768,91.432852,https://2gis.com/firm/70000001062546680
Котлета,бургерная-пиццерия,Доставка готовых блюд; Бары; Кафе,"улица Торосова, 15",1 этаж,655016,8-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,2.9,184,83902313474 (единый номер - пн-чт 10:00-23:00; пт-сб 10:00-00:00; вс 10:00-23:00),,,,,http://www.kotletagrill.ru,,,,,,,,,,,53.740613,91.422382,https://2gis.com/firm/70000001053279806
Вьетнамка viet street food,кафе,Доставка готовых блюд; Кафе,"улица Щетинкина, 32",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+07:00,4.4,517,89237081919,,,,,,,,,,,,,https://t.me/vietnamka_abakan,,,53.72629,91.442816,https://2gis.com/firm/70000001053384652
Синяя коза,ресторан-гриль,Рестораны; Кафе; Банкетные залы; Бары; Организация и проведение праздников,"Крылова, 78",цокольный этаж; центральный вход,655003,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+07:00,3.7,169,83902320300,,,,,,,https://vk.com/koza_abakan,https://wa.me/79012353896,,,,,https://t.me/koza_abakan,,,53.735985,91.441614,https://2gis.com/firm/70000001063278081
Hanoi,кафе вьетнамской кухни,Кафе,"улица Катанова, 12 ряд 2",2 ряд,655012,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,4.4,176,89235834623,,,,,,,,,,,,,,,,53.727667,91.471905,https://2gis.com/firm/9711414977566951
Котофей,кафе,Кафе; Доставка готовых блюд,"улица Ивана Ярыгина, 24",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,3.8,180,89083266722,89135418008,,,,http://kotofei19.ru,,https://vk.com/cafekotofey,https://wa.me/79135418008,,,,,,,,53.720297,91.433776,https://2gis.com/firm/9711414977496235
Ла скала,кафе,Кафе; Доставка готовых блюд,"Кравченко, 11з",цокольный этаж,655004,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00 (служба доставки: пн-сб 10:00-18:00),+07:00,4.1,67,89069536450,,,,,http://cafelascala.ru,,,https://wa.me/79069536450,,,,,,,,53.718847,91.409132,https://2gis.com/firm/9711414977496236
Pan asian bar,кафе,Доставка готовых блюд; Кафе,"проспект Ленина, 76Б",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+07:00,4.3,149,89333359995,,,,,http://panasianbar.ru/abakan,,https://vk.com/panasianbar,https://wa.me/79333359995,,,,,,,,53.723022,91.447575,https://2gis.com/firm/70000001040466081
7 lir,кафе,Кафе; Доставка готовых блюд; Пиццерии; Суши-бары,"улица Пушкина, 50",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.4,452,89835897737,83902212221 (служба доставки),83902397737 (служба доставки),pizza.7lir@yandex.ru,,http://7lir-aba.ru,http://www.7lir.ru,https://vk.com/7lir_abakan,,,,,,,,,53.718613,91.455307,https://2gis.com/firm/70000001039577894
Мадрид,кафе,Кафе; Доставка готовых блюд; Рестораны,"Кирова, 112/1",цокольный этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-22:00,+07:00,4.1,99,83902321323,89012351323,,,,http://madrid-abakan.cafe,,https://vk.com/madrid_abakan,https://wa.me/79012351323,,,,,,,,53.727392,91.437827,https://2gis.com/firm/70000001040695122
Vo gan udon,лапшичная,Доставка готовых блюд; Кафе,"проспект Ленина, 78",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+07:00,4.3,81,89095271919 (служба доставки),,,,,http://Voganudon.ru,,,https://wa.me/79095271919,,,,,,,,53.722791,91.446837,https://2gis.com/firm/70000001055475732
Кавказская пленница,кафе восточной кухни,Кафе; Доставка готовых блюд,"Некрасова, 39",цокольный этаж,655001,Арбан м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+07:00,4.0,120,83902265552,89532573768,,,,http://tapid.pro/cafe_plennica19,,,,,,,,,,,53.728652,91.417266,https://2gis.com/firm/70000001032284066
ma.le,ивент-кафе,Банкетные залы; Кейтеринг; Кафе,"улица Торосова, 25",,655016,4-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-19:00; Вт: 11:00-19:00; Ср: 11:00-19:00; Чт: 11:00-19:00; Пт: 11:00-19:00; Сб: 11:00-19:00; Вс: 11:00-19:00 (банкетный зал: пн-вс 11:00-00:00),+07:00,3.9,63,89235846268,,,mama.lesa@mail.ru,,http://male-club.ru,,https://vk.com/cafe.male,https://wa.me/79235846268,,,,,,,,53.745948,91.426236,https://2gis.com/firm/70000001057513608
Eurasia,кафе,Кафе; Доставка готовых блюд,"улица Щетинкина, 32",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,2.9,73,89188566999,,,,,http://abakan.chibbis.ru/kafe-eurasia/menu,,https://vk.com/eurasia_abakan,https://wa.me/79188566999,,,,,,,,53.726088,91.442873,https://2gis.com/firm/70000001060090717
Avenue32,гастробар,Бары; Кафе; Банкетные залы,"улица Щетинкина, 32",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+07:00,3.5,101,89832784885,,,,,,,https://vk.com/avenue32.abakan,https://wa.me/79832784885,,,,,,,,53.72629,91.442816,https://2gis.com/firm/70000001054335232
Мираж,кафе,Кафе; Доставка готовых блюд,"Аскизская улица, 210Б к2",,655011,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 13:00-02:00; Вт: 13:00-02:00; Ср: 13:00-02:00; Чт: 13:00-02:00; Пт: 14:00-04:00; Сб: 14:00-04:00; Вс: 14:00-04:00,+07:00,3.1,17,89532591531,,,,,,,,,,,,,,,,53.692551,91.400726,https://2gis.com/firm/70000001025345698
Килька&бекон,ресто-столовая,Столовые; Банкетные залы; Кафе,"улица Чертыгашева, 9",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 08:00-19:00; Вт: 08:00-19:00; Ср: 08:00-19:00; Чт: 08:00-19:00; Пт: 08:00-19:00; Сб: 08:00-19:00; Вс: 08:00-19:00,+07:00,4.2,67,89012392502,,,,,,,https://vk.com/kilka_and_becon,https://wa.me/79012392502,,,viber://chat/?number=79012392502,,https://t.me/kilkaibekon,,,53.726388,91.46697,https://2gis.com/firm/70000001062124211
Imperial холл,ресторан,Банкетные залы; Рестораны; Кафе; Организация и проведение праздников; Услуги праздничного оформления,"Крылова, 84",,655010,3-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00 (по предварительной записи),+07:00,4.8,47,89235888844,,,imperialholl@gmail.com,sadokatnasrullaeva@mail.ru,,,https://vk.com/imperial_hall19,,,,viber://chat/?number=79235888844,,,,,53.735077,91.434206,https://2gis.com/firm/70000001051206135
Кавказ,кафе,Кафе; Доставка готовых блюд; Банкетные залы,"Шоссейная, 4",,655100,,,,Усть-Абаканский район,Республика Хакасия,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,4.1,50,89233000377,,,,,,,,,,,,,,,,53.772689,91.390153,https://2gis.com/firm/70000001025227631
Журавль и лисица,кафе,Кафе; Доставка готовых блюд,"улица Лермонтова, 21",1 этаж,655016,9-й м-н,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 11:00-18:00; Вт: 11:00-18:00; Ср: 11:00-18:00; Чт: 11:00-18:00; Пт: 11:00-18:00,+07:00,4.1,66,89831913121,83902213121,,,,http://napary.ru,,,https://wa.me/79333392131,,,viber://chat/?number=79333392131,,,,,53.73992,91.418859,https://2gis.com/firm/70000001019676069
Salgal,кафе тувинской кухни,Кафе,"проспект Ленина, 75",,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+07:00,4.4,20,89235555891,,,,,,,,,,,,,,,,53.721265,91.436445,https://2gis.com/firm/70000001069505298
Жадина Говядина,гастробар,Кафе; Бары,"улица Генерала Тихонова, 11",,655163,Искожевский квартал,,Черногорск,Черногорск городской округ,Республика Хакасия,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+07:00,4.0,29,89235819931,,,,,http://zhadinabar19.ru,,,,,,,,,,,53.825385,91.341649,https://2gis.com/firm/70000001069214892
Brrand ice,кафе-мороженое,Кафе,"улица Щетинкина, 26",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+07:00,3.4,70,83902227355,89832558125,,,,,,,,,,,,,,,53.724695,91.444067,https://2gis.com/firm/9711414977496378
Booster,кофейня,Кофейни; Быстрое питание,"проспект Ленина, 61",1 этаж,655017,,,Абакан,Абакан городской округ,Республика Хакасия,Россия,Пн: 06:55-23:00; Вт: 06:55-23:00; Ср: 06:55-23:00; Чт: 06:55-23:00; Пт: 06:55-23:00; Сб: 07:55-23:00; Вс: 07:55-23:00,+07:00,4.3,266,89235865970,,,,,http://boosterfamily.ru,,https://vk.com/booster_coffee,,,,,,,,,53.722248,91.446237,https://2gis.com/firm/70000001026778572
