Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Жар-птица,пекарня,Кафе; Доставка готовых блюд; Пекарни,"Лиговский проспект, 89",цокольный этаж,191040,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,571,89811308887,,,pie-delivery@mail.ru,,http://www.pie-delivery.ru,,,,https://vk.com/club32644627,https://wa.me/79811308887,,,,,,,,59.923764,30.355938,https://2gis.com/firm/70000001025043469
Накатика,японское кафе,Кафе; Доставка готовых блюд,"Тучков переулок, 11",цокольный этаж,199004,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,112,89319864979,,,nakatikaspb@mail.ru,,http://t.me/nakatikaspb,,,,https://vk.com/nakatikaspb,https://wa.me/79319864979,,,,,,,,59.945214,30.28831,https://2gis.com/firm/70000001023950216
Vaffel&Wine,кафе,Доставка готовых блюд; Кафе,"Гороховая, 41",1 этаж,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.4,346,88129602641,89219602641,,,,http://vaffel.ru,http://t.me/vaffelspb,,,,,,,,,,,,59.929134,30.320839,https://2gis.com/firm/70000001029759919
Лео,шаверма-бар,Быстрое питание; Кафе; Доставка готовых блюд; Бары,"Караванная, 24",28Н помещение; 1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-01:00,+03:00,4.6,667,89627184460,,,profud@bk.ru,,,,,,,https://wa.me/79627184460,,,,,https://t.me/leo_shaverma_bar,,,59.934467,30.341332,https://2gis.com/firm/70000001042866264
Lines coffee & breakfast,кафе,Кафе; Кофейни; Пекарни,"26-я линия В.О., 7",1 этаж,199106,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.7,39,89934922425,,,,,http://linescafe.tilda.ws,http://t.me/linescoffeebakery,,,https://vk.com/club220416290,https://wa.me/79934922425,,,,,,,,59.930715,30.262335,https://2gis.com/firm/70000001068838988
Mr. YO! Sushi & Pizza,служба доставки еды,Доставка готовых блюд; Пиццерии; Суши-бары; Кафе,"Екатерининская, 22 к1",1 этаж,188677,Западный м-н,,Мурино,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.5,245,88126796760,,,sladkayakuhnya@yandex.ru,,http://yo.spb.ru,,,,https://vk.com/mryospb,,,,,,,,,60.062152,30.440543,https://2gis.com/firm/70000001058867936
Этнос,грузинское кафе,Кафе; Банкетные залы; Доставка готовых блюд,"Кузнечный переулок, 8",1 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-24:00; Вт: 11:30-24:00; Ср: 11:30-24:00; Чт: 11:30-24:00; Пт: 11:30-24:00; Сб: 11:30-24:00; Вс: 11:30-24:00,+03:00,4.4,116,89219039660,89319761866,,ethnoscafe@gmail.com,,http://ethnos-cafe.ru,,,,,https://wa.me/79219039660,,,,,,,,59.927589,30.35047,https://2gis.com/firm/70000001023618065
Chang x Kuta,кафе аутентичной тайской кухни,Кафе; Доставка готовых блюд; Пекарни,"улица Некрасова, 1/38",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,104,89110135330,,,changnekrasova@gmail.com,,http://changcafe.ru,,,,https://vk.com/changcafe,,,,,,,,,59.938897,30.349258,https://2gis.com/firm/70000001065161765
Sowa,,Кофейни; Кафе; Продажа кофе,"Жуковского, 47",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,73,89633405806,,,k55688@yandex.ru,,http://sowa-cafe.tilda.ws,,,,,https://wa.me/79633405806,,,,,https://t.me/sowaspb,,,59.935727,30.358882,https://2gis.com/firm/70000001066912578
Loft,лаундж-бар,Кафе; Бары,"Рыбацкий проспект, 23 к2",1 этаж,192076,Рыбацкое,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-02:00; Сб: 14:00-02:00; Вс: 14:00-02:00,+03:00,4.6,27,89217779913,,,loft.torg@mail.ru,,http://loft.qr-cafe.ru/,,,,https://vk.com/loft.ribatskoe,,,,,,https://t.me/Loft_rybatskoe_bot,,,59.840446,30.501478,https://2gis.com/firm/70000001035964378
Блин`Ок,крафт-кафе,Кафе,"Петровская, 17",1 этаж,197762,Кронштадт г.,Кронштадтский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-19:00; Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+03:00,4.5,193,,,,,,http://cafe-blinok.qr-cafe.ru,,,,https://vk.com/blinok_kron,,,,,,,,,59.988481,29.771977,https://2gis.com/firm/70000001055164733
Суарэ,бар-ресторан,Бары; Караоке-залы; Кафе,"Жуковского, 28",цокольный этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-05:00; Вт: 11:00-05:00; Ср: 11:00-05:00; Чт: 11:00-05:00; Пт: 11:00-05:00; Сб: 12:00-05:00; Вс: 12:00-05:00 (по предварительной записи: пн-вс),+03:00,4.6,211,89112578343,,,msoiree@yandex.ru,,http://spbbar.net,,,,,,,,,,,,,59.93594,30.360029,https://2gis.com/firm/5348552838497324
Дуду лапша,ресторан китайской кухни,Кафе; Доставка готовых блюд,"проспект Добролюбова, 23",цокольный этаж,197198,Введенский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-22:30; Вт: 11:30-22:30; Ср: 11:30-22:30; Чт: 11:30-22:30; Пт: 11:30-22:30; Сб: 11:30-22:30; Вс: 11:30-22:30,+03:00,4.5,155,89643223013,,,,,,,,,,,,,,,,,,59.950346,30.297763,https://2gis.com/firm/70000001054205774
Вкус искусства,арт-кофейня,Кафе,"Суворовский проспект, 15",1 этаж,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.3,129,89110849439,,,marita1978@yandex.ru,,http://vkusiskusstva.ru,http://jivo.chat/PD76VTfDAB,,,https://vk.com/tasteofart_spb,https://wa.me/79110849439,,,,,https://t.me/+79110849439,,,59.93493,30.371265,https://2gis.com/firm/70000001042751783
Мясорубка Angus,бургерная,Доставка готовых блюд; Кафе; Быстрое питание,"Литейный проспект, 31",1 этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-23:00,+03:00,4.8,241,88122727788,,,redangus01@yandex.ru,,http://myasorubka.spb.ru,,,,https://vk.com/myasorubka_true,,,,,,,,,59.941475,30.348172,https://2gis.com/firm/70000001042046208
Гетап,кафе,Кафе; Доставка готовых блюд; Организация и проведение праздников; Банкетные залы,"улица Дыбенко, 9 к1",1 этаж,193230,Муниципальный округ №54,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.8,18,89119279326,89650980879,,efimichkafe@mail.ru,,,,,,,,,,,,https://t.me/sergovitiy,,,59.90105,30.461112,https://2gis.com/firm/5348552841392433
Lunar bakery,кафе,Кафе; Пекарни; Кофейни; Доставка готовых блюд; Кондитерские изделия,"Моисеенко, 24",1 этаж,191144,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 08:30-21:00; Вс: 08:30-21:00,+03:00,4.7,15,89213819313,,,lunarpekarna@gmail.com,,,,,,https://vk.com/lunarbakery,https://wa.me/79213819313,,,viber://chat/?number=79213819313,,,,,59.937595,30.389938,https://2gis.com/firm/70000001079603289
Кофейня №1,,Кафе; Доставка готовых блюд; Рестораны,"Невский проспект, 54",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:00,+03:00,4.2,277,88129299454,,,help@delmar-group.ru,,http://delmar-spb.ru/restorany/?v=kofeynya-1,,,,https://vk.com/coffeen1,,,,,,,,,59.934384,30.336037,https://2gis.com/firm/70000001035536003
Chloe Cafe,кафе,Кафе; Рестораны; Доставка готовых блюд,"Чайковского, 50",1 этаж,191123,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.2,49,89650680008,,,info@cafechloeconcept.ru,,http://cafechloeconcept.ru,,,,https://vk.com/cafechloespb,https://wa.me/79650680008,,,viber://chat/?number=79650680008,,https://t.me/Cafechloespb,,https://youtube.com/channel/UCs7jM2asqr74avbdZe9wmzw,59.94656,30.363082,https://2gis.com/firm/70000001061311210
Doski,бар-ресторан,Ночные клубы; Бары; Караоке-залы; Кафе; Рестораны,"улица Звенигородская, 1 к2",3 этаж,191119,Семёновский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.1,1473,88129058555 (служба бронирования и доставки),,,,,http://www.bardoski.ru,,,,https://vk.com/bardoski,https://wa.me/79213374742,https://wa.me/79213374240,,,,,,,59.922348,30.335726,https://2gis.com/firm/5348552840836522
Цейлон,стритфуд-кафе,Кафе; Быстрое питание; Безалкогольные напитки,"Гражданский проспект, 39Б",,195220,Гражданка,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,5.0,33,89111020008,,,Bardos@yandex.ru,,,,,,https://vk.com/ceylonfood,https://wa.me/79111020008,,,,,https://t.me/+7-911-102-00-08,,,60.01019,30.3956,https://2gis.com/firm/70000001074753766
Хинкальная Gogi,сеть грузинских ресторанов,Кафе; Доставка готовых блюд; Рестораны,"Невский проспект, 54",цокольный этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-24:00; Вт: 11:30-24:00; Ср: 11:30-24:00; Чт: 11:30-24:00; Пт: 11:30-24:00; Сб: 11:30-24:00; Вс: 11:30-24:00,+03:00,4.3,406,88129323252,,,khinkalnayagogi@gmail.com,,http://khinkalnayagogi.com,,,,https://vk.com/khinkalnayagogi,,,,,,,,,59.934251,30.337169,https://2gis.com/firm/70000001039478193
Добрый Грузин,сеть ресторанов,Рестораны; Доставка готовых блюд; Кафе; Банкетные залы; Бары,"Невский проспект, 111/3",1 этаж,191036,Лиговка-Ямская,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-01:00,+03:00,4.4,355,89210972525 (служба доставки: пн-вс 12:00-1:00),88126797766 (единый номер: пн-вс 12:00-1:00),,,,http://dobriygruzin.ru,,,,https://vk.com/dobriygruzin,,,,,,,,,59.928252,30.370777,https://2gis.com/firm/70000001018693463
Декабрист,кафе европейской и домашней кухни,Кафе,"Якубовича, 2",,190121,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.3,255,88129121891,,,,,http://www.decabrist.net,,,,,,,,,,,,,59.933737,30.303368,https://2gis.com/firm/5348553838658840
