Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Широта,Долгота,2GIS URL
Евразия,рестораны японской и европейской кухни,Суши-бары; Рестораны; Доставка готовых блюд; Бары,"Невский проспект, 42",1 этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-05:00; Вт: 11:00-05:00; Ср: 11:00-05:00; Чт: 11:00-05:00; Пт: 11:00-05:00; Сб: 11:00-05:00; Вс: 11:00-05:00,+03:00,4.8,1642,88129811649,,,resto@evrasiaspb.ru,,http://evrasia.spb.ru/?utm_source=pinbox&utm_medium=cpc&utm_campaign=geo,,,,https://vk.com/evrasiaspb,,,,,,https://t.me/evrasiapiter,,,,59.934812,30.332519,https://2gis.com/firm/70000001036248535
United butchers,мясной бар-ресторан,Рестораны; Бары,"Восстания, 26",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.8,224,88126152457,,,info@unitedbutchers.ru,,http://unitedbutchers.ru,,,,https://vk.com/unitedbutchers,,,,,,https://t.me/unitedbutchers,,,,59.939124,30.360232,https://2gis.com/firm/70000001023948215
Старградъ,пивоварня-ресторан,Рестораны; Бары; Доставка готовых блюд,"Казанская, 7а лит А",1 этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-23:00; Вс: 12:00-23:00 (служба доставки: пн-вс 12:00-19:00),+03:00,4.3,264,88126607816,,,mail@stargorod.net,,http://spb.stargorodbrewery.ru,,,,https://vk.com/stargorodbreweryspb,,,,,,,,,,59.932094,30.321186,https://2gis.com/firm/70000001006810995
Ять,ресторан-бар,Рестораны; Банкетные залы; Бары,"набережная реки Мойки, 16",цокольный этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-22:00,+03:00,4.2,69,88129570023,,,yat@pirgoroi.spb.ru,,http://eatinyat.com,,,,https://vk.com/club40735615,,,,,,,,,,59.940648,30.320078,https://2gis.com/firm/5348553838493276
Хачапури тетушки Марико,ресторан грузинской кухни,Рестораны; Доставка готовых блюд; Кафе,"улица Малая Садовая, 3/54",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.9,2198,89119207290,,,marikospb1@yandex.ru,,http://vhachapuri.ru,,,,https://vk.com/hachapuri__spb,,,,,,,,,,59.934985,30.337533,https://2gis.com/firm/70000001035996741
Mapuche,коктейльный бар с латино-американской кухней,Рестораны; Бары; Доставка готовых блюд,"улица Некрасова, 34",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-24:00,+03:00,4.4,115,89616182828 (служба бронирования),,,mapuchespb@yandex.ru,,http://www.mapuche.one/,,,,https://vk.com/mapuchebar,https://wa.me/79616182828,,,,,,,,,59.938871,30.358747,https://2gis.com/firm/70000001028817760
INSIDE,лаундж-бар,Центры паровых коктейлей; Бары; Рестораны,"Правды, 1/11 лит Д",1-2 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 14:00-02:00; Вт: 14:00-02:00; Ср: 14:00-02:00; Чт: 14:00-02:00; Пт: 14:00-06:00; Сб: 14:00-06:00; Вс: 14:00-02:00,+03:00,4.9,331,89337772772,,,inside.saint.p.2019@gmail.com,,http://inside-loungebar.ru/,info2gis.tilda.ws/proxy18?target=https://inside-loungebar.ru/&back=https://2gis.ru/spb/firm/70000001041088031&mode=0,,,,https://wa.me/79337772772,,,,,,,,,59.924793,30.343952,https://2gis.com/firm/70000001041088031
The Legends,ресторан,Рестораны,"улица Садовая, 62",1 этаж,190068,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-23:00,+03:00,4.8,5,88122234347,,,pr@legends.rest,,http://legends.rest,,,,,,,,,,,,,,59.921213,30.30219,https://2gis.com/firm/70000001080090270
OldWhale,английский паб,Бары; Доставка готовых блюд; Рестораны; Банкетные залы,"Загородный проспект, 24",1 этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-23:00,+03:00,4.7,36,88129557685,,,owepub@gmail.com,,http://oldwhalepub.com,,,,https://vk.com/oldwhalepub,,,,,,,,,,59.925581,30.341266,https://2gis.com/firm/70000001049134206
La Vue,панорамный ресторан,Рестораны,"Пироговская набережная, 5",10 этаж,194044,Сампсониевское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,3.1,108,88126330646,,,lavue@hotel-spb.ru,banketcitytel@yandex.ru,http://la-vue.ru,,,,https://vk.com/lavuespb,,,,,,,,,,59.956771,30.341659,https://2gis.com/firm/70000001028424448
Le Colchide,ресторан грузинской кухни,Рестораны; Банкетные залы; Доставка готовых блюд,"улица Кирочная, 2",1 этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.7,106,89119090194,,,lecolchide@gmail.com,,http://t.me/le_colchide,,,,https://vk.com/lecolchide,https://wa.me/79045543139,,,,,,,,,59.944155,30.349443,https://2gis.com/firm/70000001054742335
Есть Хинкали Пить Вино,ресторан,Рестораны,"Большая Зеленина, 21 лит А",1 этаж,197110,Чкаловское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:30-23:30; Вт: 11:30-23:30; Ср: 11:30-23:30; Чт: 11:30-23:30; Пт: 11:30-24:00; Сб: 11:30-24:00; Вс: 11:30-23:30,+03:00,4.9,135,89312121444,,,,,http://khinkalivino.ru,,,,https://vk.com/khinkalivino,https://wa.me/79312121444,,,,,,,,,59.962661,30.289778,https://2gis.com/firm/70000001069261750
МакЛарен`с Паб,,Доставка готовых блюд; Бары; Рестораны,"улица Некрасова, 37/20",1 этаж,191014,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.7,83,88129873323,,,spb@maclarens.ru,,http://maclarens.ru/?utm_source=2gis&utm_medium=nekrasova,,,,https://vk.com/maclarensspb,,,,,,,,,,59.938634,30.362907,https://2gis.com/firm/70000001060386237
Asia,ресторан,Рестораны; Доставка готовых блюд; Банкетные залы,"Большой проспект П.С., 18",,197198,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-01:00; Вт: 10:00-01:00; Ср: 10:00-01:00; Чт: 10:00-01:00; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-01:00,+03:00,4.8,93,89213231717,,,asia.lapsha90@mail.ru,,http://asia-lapsha.ru,,,,https://vk.com/asia_lapsha_spb,https://wa.me/79213231717,,,,,https://t.me/+79213231717,,,,59.955501,30.29501,https://2gis.com/firm/70000001065552970
Давай мясо,,Рестораны; Организация и проведение праздников,"улица Типанова, 23 к2 ст1",1 этаж,196135,Гагаринское,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-23:00,+03:00,4.6,26,89216505575,88123035575,,shato-group@ya.ru,,http://davaimyaso.ru/,,,,https://vk.com/davaimyaso_rest,https://wa.me/79216505575,,,,,https://t.me/+79216505575,,,,59.85337,30.343611,https://2gis.com/firm/70000001066329554
Тан жен,ресторан китайской кухни,Рестораны; Банкетные залы,"Гороховая, 48",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,3.8,208,88123107703,,,tangren@mail.ru,,http://tang-ren.ru,,,,https://vk.com/tangrenspb,,,,,,https://t.me/tangrenrest,,,,59.926208,30.325641,https://2gis.com/firm/5348552838534900
Астара,ресторан восточной и европейской кухни,Рестораны; Банкетные залы; Доставка готовых блюд; Кафе; Организация и проведение праздников,"Русановская улица, 1 к2",,193149,Народный,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-02:00; Вт: 11:00-02:00; Ср: 11:00-02:00; Чт: 11:00-02:00; Пт: 11:00-04:00; Сб: 11:00-04:00; Вс: 11:00-04:00 (до последнего гостя),+03:00,3.3,3,89810458762,,,astara.spb@mail.ru,,http://rest-astara.ru,,,,,https://wa.me/79810458762,,,,,,,,,59.86233,30.495193,https://2gis.com/firm/70000001078836005
The Red Fox Pub & Grill,гастропаб,Бары; Кафе; Рестораны,"Пулковское шоссе, 3 к1",1 этаж,196240,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.4,100,89219194893,,,,,http://redfoxpub.ru,,,,,,,,,,,,,,59.840845,30.317728,https://2gis.com/firm/5348552840574282
Must,ресторан,Рестораны; Доставка готовых блюд; Бары,"Большой проспект П.С., 54",1 этаж,197198,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-23:00,+03:00,4.5,59,88129401991,,,,,http://musteat.ru,,,,https://vk.com/bonacapona,,,,,,,,,,59.960421,30.303024,https://2gis.com/firm/70000001033238429
Галата,ресторан турецкой кухни,Рестораны; Банкетные залы; Доставка готовых блюд; Кафе; Кондитерские изделия,"Лиговский проспект, 162",1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.6,236,89110987301,,,galata.spb@mail.ru,,http://galata-restaurant.ru,,,,https://vk.com/galata_spb,https://wa.me/79110987301,,,,,,,,,59.912092,30.349074,https://2gis.com/firm/5348552838581035
Кукуруза,ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"проспект Энгельса, 41",1 этаж,194017,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.3,24,89119265500,,,kukuruzaengelsa@gmail.com,,http://resto.kukuruza-resto.ru,,,,https://vk.com/club212187734,https://wa.me/79119265500,,,,,https://t.me/kukuruza41,,,,60.012468,30.324401,https://2gis.com/firm/70000001057611447
FeelingWine`S by Чувство Вина,винный ресторан,Рестораны; Бары; Аренда площадок для культурно-массовых мероприятий; Доставка готовых блюд; Банкетные залы,"Жуковского, 57",1 этаж; цветочная арка,191036,Смольнинское,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-24:00,+03:00,4.8,105,88125079010,89681814554,,info@feelingwines.ru,,http://feelingwines.ru,http://wine-tasting.feelingwines.ru,http://jivo.chat/mHfydGu75h,https://twitter.com/feelingwines,https://vk.com/feelingwines,https://wa.me/79681814554,,,,,https://t.me/+79681814554,https://t.me/timehascomespb_bot,,https://youtube.com/@FeelingWineS,59.935701,30.361488,https://2gis.com/firm/70000001054863562
Европа,ресторан,Рестораны; Банкетные залы,"Михайловская, 1",2 этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Ср: 19:00-23:00; Чт: 19:00-23:00; Пт: 19:00-23:00; Сб: 19:00-23:00; Вс: 19:00-23:00,+03:00,3.6,8,88123296000 (многоканальный),88123296630,,restaurants@grandhoteleurope.com,,http://grandhoteleurope.com,,,,,,,,,,https://t.me/grandhoteleurope,,,,59.935917,30.330657,https://2gis.com/firm/5348552839656809
Мисо,ресторан,Рестораны; Суши-бары; Доставка готовых блюд; Кафе,"Московский проспект, 48",1 этаж,190013,Семёновский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 13:00-23:00; Вс: 13:00-23:00,+03:00,4.2,135,88123178274,,,restoran_miso@mail.ru,,http://delivery.restik.com/miso,,,,https://vk.com/miso_spb,https://wa.me/79219331441,,,,,,,,,59.911361,30.318589,https://2gis.com/firm/5348552839930470
Тамар,грузинский ресторан,Рестораны; Банкетные залы; Доставка готовых блюд,"Караванная, 28",1 этаж,191023,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.9,240,89216491119,,,ooo_kosta@inbox.ru,,http://tamarspb.ru,,,,,https://wa.me/79216491119,,,,,https://t.me/+79216491119,,,,59.93394,30.341228,https://2gis.com/firm/70000001041409852
Калиостро,ресторан,Рестораны; Бары; Банкетные залы,"Большая Морская, 38",цокольный этаж,190031,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-22:30; Вт: 12:00-22:30; Ср: 12:00-22:30; Чт: 12:00-22:30; Пт: 12:00-23:30; Сб: 12:00-23:30; Вс: 12:00-22:30,+03:00,4.2,27,89117447759,,,cagliostro.rest@gmail.com,,http://www.cagliostro-rest.ru,,,,https://vk.com/cagliostro.rest,https://wa.me/79117447759,,,viber://chat/?number=79117447759,,https://t.me/+79117447759,,,,59.933131,30.311075,https://2gis.com/firm/70000001064206674
Yujin,ресторан,Доставка готовых блюд; Суши-бары; Рестораны,"Парфёновская, 11 к1",1 этаж,196084,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.5,60,89995212000,,,yujin.lokal@yandex.ru,,http://yujinsushi.ru,,,,https://vk.com/yujin.local,https://wa.me/79995212000,,,,,https://t.me/yujinsushi,,,,59.899207,30.311639,https://2gis.com/firm/70000001047532423
True crab,,Бары; Рестораны; Доставка готовых блюд,"Ропшинская, 30",1 этаж,197110,Петровский,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,34,89313162406,,,hello@truecrab.ru,,http://truecrab.ru,,,,https://vk.com/truecrab,https://wa.me/79313162406,,,,,,,,,59.960071,30.291365,https://2gis.com/firm/70000001059072840
Myasoedoff,гриль-бар,Рестораны; Доставка готовых блюд,"Литейный проспект, 18/2",1-2 этаж,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,5.0,67,89990090699,,,Idealistgroup@mail.ru,,http://myasoedoff.com,,,,https://vk.com/club179760947,https://wa.me/79990090699,,,,,https://t.me/+79990090699,,,,59.944159,30.349042,https://2gis.com/firm/70000001066005941
Марчеллис,семейный ресторан итальянской кухни,Рестораны,"Александровский парк, 4 к3 лит А",1 этаж,197198,Кронверкское,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.4,251,88129860605,,,marchellispark@gmail.com,,http://marcellis.ru,,,,https://vk.com/marcellispeople,,,,,,,,,,59.956013,30.314145,https://2gis.com/firm/70000001019862943
Meat_coin,премиальный мясной ресторан,Рестораны; Доставка готовых блюд; Бары,"Рубинштейна, 4",1 этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.6,68,88124182828,,,murmurmyasoet@gmail.com,,http://meat-coin.com,,,,,,,,,,,,,,59.93212,30.345944,https://2gis.com/firm/70000001030551949
Pho`n`roll,ресторан азиатской кухни,Доставка готовых блюд; Кафе; Рестораны,"Жуковского, 27",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.2,106,89632423977,,,pr.phonroll@gmail.com,,http://phonrollcafe.ru,http://delivery.phonrollcafe.ru,,,https://vk.com/phonrollcafe,https://wa.me/79632423977,,,viber://chat/?number=79632423977,,https://t.me/+79632423977,,,,59.935783,30.355407,https://2gis.com/firm/70000001026013420
Чайхона,ресторан,Рестораны; Бары; Доставка готовых блюд,"Невский проспект, 22",2 этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,441,89119223022,,,info@chaihona-nevskiy.ru,,http://chaihonaspb.ru,,,,https://vk.com/chaihona_spb,,,,,,https://t.me/chaihona_nevskiy22,,,,59.935976,30.322912,https://2gis.com/firm/70000001061426336
True meat,гастробар,Рестораны,"Киевская, 5 к3",1 этаж; вход с ул. Киевская,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.8,34,89310088077,,,truemeatspb@yandex.ru,,http://truemeatspb.ru,,,,https://vk.com/truemeat_spb,https://wa.me/79310088077,,,,,https://t.me/+79310088077,https://t.me/truemeat_spb,,,59.902625,30.322783,https://2gis.com/firm/70000001062607100
