Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,Telegram 3,YouTube,Skype,Широта,Долгота,2GIS URL
Eurospar,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Невский проспект, 48",цокольный этаж,191011,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,275,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,http://myspar.ru,,,,https://vk.com/spar.russia,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,59.935103,30.334241,https://2gis.com/firm/70000001044568558
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"набережная Обводного канала, 118 к7",,190005,Измайловское,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,108,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.906816,30.302487,https://2gis.com/firm/70000001058978291
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Уральская, 29 к1",,199155,Остров Декабристов,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.5,45,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.956352,30.244137,https://2gis.com/firm/70000001058978791
Долгоозерный,торговый комплекс,Торговые центры / Универсальные магазины; Продуктовые магазины,"улица Ильюшина, 14",1-3 этаж,197372,Озеро Долгое,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,3.5,28,89650197555 (отдел аренды ),89215552150 (администрация ),,,,http://tkdoz.ru,,,,https://vk.com/tkdoz,,,,,,,,,,,60.008195,30.245715,https://2gis.com/firm/70000001031751653
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Лиговский проспект, 283 лит А",2 этаж,196084,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.0,37,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.897972,30.333725,https://2gis.com/firm/70000001058977903
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"набережная реки Мойки, 30",цокольный этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,4.1,6,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.938413,30.321337,https://2gis.com/firm/70000001067460775
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Савушкина, 112",1 этаж,197374,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.5,26,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.984616,30.226047,https://2gis.com/firm/70000001058978882
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Лиговский проспект, 30",-1 этаж,191040,Лиговка-Ямская,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,1.9,132,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.926693,30.360722,https://2gis.com/firm/70000001030966868
METRO,торговый центр,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Косыгина, 4 лит А",1 этаж,195279,Пороховые,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 06:00-23:30; Вт: 06:00-23:30; Ср: 06:00-23:30; Чт: 06:00-23:30; Пт: 06:00-23:30; Сб: 06:00-23:30; Вс: 06:00-23:30,+03:00,3.3,45,88124491600 (многоканальный),,,acquisition.store16@metro-cc.ru,entry.store16@metro-cc.ru,http://cards.metro-cc.ru/login/2GIS_Maps,,,https://twitter.com/METRO_CC_Russia,https://vk.com/mirmetrorussia,,,,,,,,,https://youtube.com/user/MetroCCru,,59.940405,30.455801,https://2gis.com/firm/5348552838576933
Eurospar,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Владимирский проспект, 19",цокольный этаж,191002,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.4,143,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,http://myspar.ru,,,,https://vk.com/spar.russia,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,59.928652,30.346043,https://2gis.com/firm/70000001046870698
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Планерная улица, 17",,197374,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.4,27,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.998671,30.237341,https://2gis.com/firm/70000001058978929
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Богатырский проспект, 42",,197082,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,3.3,86,88124494150,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,60.002691,30.229136,https://2gis.com/firm/5348553838988450
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Заневский проспект, 65 к1 лит А",1 этаж,195213,Малая Охта,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,2.9,75,88127037005,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.929948,30.433265,https://2gis.com/firm/5348552838577232
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Науки, 17 к1",1 этаж,195220,Академическое,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,2.6,134,88123859234,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,60.014231,30.38838,https://2gis.com/firm/5348552840584192
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Дальневосточный проспект, 16 к1",1 этаж,193168,Невский,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.1,37,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.909848,30.449529,https://2gis.com/firm/70000001058977590
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Пискарёвский проспект, 59 лит А",1 этаж,195067,Полюстрово,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.3,30,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.989688,30.439156,https://2gis.com/firm/70000001058978973
Перекрёсток,супермаркет,Супермаркеты; Доставка готовых блюд,"Карбышева, 9а",1 этаж,194021,Светлановское,Выборгский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,68,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.993137,30.352874,https://2gis.com/firm/70000001044716430
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"Думская, 1-3",,191011,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,4.8,4,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.933855,30.328737,https://2gis.com/firm/70000001075329613
Красное&Белое,магазин,Алкогольные напитки; Супермаркеты,"Колокольная, 3",цокольный этаж,191025,Владимирский,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:05; Вт: 09:00-22:05; Ср: 09:00-22:05; Чт: 09:00-22:05; Пт: 09:00-22:05; Сб: 09:00-22:05; Вс: 09:00-22:05,+03:00,3.6,18,89227033000,,,,,http://krasnoeibeloe.ru,,,,https://vk.com/krasnoebeloe,https://wa.me/79227033000,,,viber://chat/?number=79227033000,,https://t.me/krasnoeibeloe,,,https://youtube.com/c/Krasnoeibeloe2006,,59.928646,30.349802,https://2gis.com/firm/70000001046931939
Geek trip,магазин,Комиксы; Настольные игры; Игрушки; Аниме / косплей товары; Точки кофе,"улица Некрасова, 1/38",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 11:00-21:00; Вс: 11:00-21:00,+03:00,4.7,164,89522176475,,,,,http://geek-trip.ru,,,,https://vk.com/geek.trip,,,,,,,,,,,59.938907,30.348913,https://2gis.com/firm/70000001045532133
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Бухарестская, 69 лит А",,192286,Георгиевский,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.8,49,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,59.849917,30.397883,https://2gis.com/firm/70000001058978322
Сезон,универсам,Гипермаркеты,"улица Замшина, 29",1 этаж,195271,Финляндский,Калининский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.5,83,88125433920,88125450848,88124487176,,,http://sezon.obiz.ru/universam_sezon_na_ulitse_zamshina_29,,,,https://vk.com/club2416629,,,,,,,,,,,59.979844,30.407363,https://2gis.com/firm/5348552840229503
Eurospar,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"Академика Павлова, 5",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+03:00,3.7,13,88005001329 (бесплатная горячая линия: пн-вс 8:00-23:00),,,,,http://myspar.ru,,,,https://vk.com/spar.russia,,,,,,https://t.me/myspar,,,https://youtube.com/c/sparnnru_retail,,59.977141,30.317395,https://2gis.com/firm/70000001076343569
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Вербная, 21 лит А",,197375,Коломяги,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.9,26,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,60.02254,30.293359,https://2gis.com/firm/70000001058977810
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"улица Парашютная, 60",1 этаж,197350,Коломяги,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,39,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,60.039411,30.239907,https://2gis.com/firm/70000001058979041
Гипер Лента,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"Шуваловский проспект, 45",1 этаж,197350,Коломяги,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,3.9,36,88007004111 (горячая линия: круглосуточно),88123854111,,,,http://lenta.com,,,,https://vk.com/lentacom,https://wa.me/79817336545,,,,,https://t.me/lentacompany_bot,,,https://youtube.com/channel/UCrrKUFYJyIfkBeBSwBWrqXQ,,60.029498,30.238807,https://2gis.com/firm/70000001058977854
Перекрёсток,супермаркет,Супермаркеты; Доставка продуктов / хозтоваров,"улица Савушкина, 116 лит А",1 этаж,197374,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.7,48,88002009555 (бесплатная горячая линия: круглосуточно),"88124483010 (доп.17100, многоканальный)",,,,http://spb.perekrestok.ru,,,,https://vk.com/perekrestok_shop,,,,viber://chat/?number=79250875908,,https://t.me/perekrestok_store,,,,,59.985899,30.21856,https://2gis.com/firm/70000001044506092
О`Кей,гипермаркет,Гипермаркеты; Доставка продуктов / хозтоваров,"проспект Большевиков, 10 лит А",1 этаж,193168,Оккервиль,Невский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+03:00,2.9,116,88127037007,,,,,http://www.okmarket.ru,,,,https://vk.com/okmarketru,,,,,,https://t.me/okmarketofficial,,,https://youtube.com/user/marketokey,,59.912033,30.480313,https://2gis.com/firm/5348552838578699
