Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL
Городские кондитерские №1,кондитерская,Кофейни; Доставка готовых блюд; Кафе-кондитерские,"Большая Морская, 31",1 этаж,190031,Адмиралтейский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-22:00; Вт: 08:30-22:00; Ср: 08:30-22:00; Чт: 08:30-22:00; Пт: 08:30-22:00; Сб: 08:30-22:00; Вс: 08:30-22:00,+03:00,4.0,40,88126777651,,,,,http://www.konditer1.ru,,,https://vk.com/citycakes,,,,,,,,,59.933501,30.311229,https://2gis.com/firm/70000001025645113
Sowa,,Кофейни; Кафе; Продажа кофе,"Жуковского, 47",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,74,89633405806,,,k55688@yandex.ru,,http://sowa-cafe.tilda.ws,,,,https://wa.me/79633405806,,,,,https://t.me/sowaspb,,,59.935727,30.358882,https://2gis.com/firm/70000001066912578
Бублик,пекарня-кондитерская,Кофейни; Пекарни; Кондитерские изделия; Кафе-кондитерские; Доставка готовых блюд,"Ясная, 11",1 этаж,188689,,,,Всеволожский муниципальный район,Ленинградская область,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,4.1,34,89500333128,,,bikerspb@mail.ru,,http://bublik-yanino.clients.site/,,,https://vk.com/bublik.yanino,https://wa.me/79500333128,,,viber://chat/?number=79500333128,,https://t.me/bublikyanino,https://t.me/+79500333128,,59.957242,30.597538,https://2gis.com/firm/70000001035400659
Вафли,кофейня,Кофейни; Кондитерские изделия,"Будапештская, 17 к1",20н помещение,192212,Купчино,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.6,5,89217579750,,,,,,,,,,,,,,,,,59.865555,30.37181,https://2gis.com/firm/70000001078924377
Кофейня №1,,Кофейни; Доставка готовых блюд,"Кирпичный переулок, 3",1 этаж,191186,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:30; Вт: 10:00-23:30; Ср: 10:00-23:30; Чт: 10:00-23:30; Пт: 10:00-02:00; Сб: 10:00-02:00; Вс: 10:00-23:30,+03:00,3.8,413,88129349200,,,help@delmar-group.ru,,http://delmar-spb.ru/restorany/?v=kofeynya-1,,,https://vk.com/coffeen1,,,,,,,,,59.935727,30.315506,https://2gis.com/firm/70000001025552346
Территория Кофе,кофейня-кондитерская,Кофейни; Продажа кофе,"Каменноостровский проспект, 31-33",1 этаж,197022,Аптекарский остров,Петроградский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,4.6,124,89990695939,,,fragen99@mail.ru,,,,,https://vk.com/territoria_coffee_spb,https://wa.me/79990695939,,,,,https://t.me/+79990695939,,,59.964957,30.312589,https://2gis.com/firm/70000001055971053
Coffee 232,спешелти кофейня,Кофейни,"Лиговский проспект, 232 ст1",1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-20:00; Вт: 08:00-20:00; Ср: 08:00-20:00; Чт: 08:00-20:00; Пт: 08:00-20:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,4.7,25,89112017207,,,cff232@yandex.ru,,http://coffee-232.clients.site,,,,https://wa.me/79112017207,,,,,https://t.me/+79112017207,,,59.906308,30.344693,https://2gis.com/firm/70000001057843654
День хлеба,кофейня-пекарня,Кофейни; Кафе-кондитерские; Продажа кофе; Пекарни,"улица Подводника Кузьмина, 44в",1 этаж,198215,Княжево,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,4.8,27,89217778213,,,denxleba@mail.ru,,,,,https://vk.com/the.breadday,https://wa.me/79217778213,,,,,https://t.me/+79217778213,,,59.84466,30.264312,https://2gis.com/firm/70000001065632086
Сообщество,кофейня,Кондитерские изделия; Доставка готовых блюд; Кофейни,"Короленко, 9",1 этаж,191014,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.5,76,89811519481,,,moznocoffee@gmail.com,,http://coffeebar-community.ru,,,https://vk.com/coffeebar_community,https://wa.me/79811519481,,,viber://chat/?number=79811519481,,https://t.me/coffeebar_community,,,59.941914,30.350609,https://2gis.com/firm/70000001043899588
El Dorado,колумбийская кофейня,Кофейни; Продажа кофе; Пекарни,"Лыжный переулок, 4 к3",1 этаж,197345,Муниципальный округ №65,Приморский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,9,89052500550,,,offers@coffeeeldorado.com,,http://coffeeeldorado.com,,,,,,,,,,,,59.99799,30.196779,https://2gis.com/firm/70000001056419506
CoffeeIN,авторская кофейня,Кофейни; Кондитерские изделия; Продажа кофе,"Литейный проспект, 18/2",1 этаж; вход с Литейного проспекта,191028,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:30; Вт: 09:00-21:30; Ср: 09:00-21:30; Чт: 09:00-21:30; Пт: 09:00-21:30; Сб: 10:00-21:30; Вс: 10:00-21:30,+03:00,4.3,17,89819678383,,,info.coffee22@gmail.com,,http://coffeein.spb.ru,http://t.me/coffee_in1,,https://vk.com/1coffeein,https://wa.me/79218621322,,,,,,,,59.944409,30.348919,https://2gis.com/firm/70000001068076118
Галата,Galata bakery,Пекарни; Кофейни; Доставка готовых блюд; Кафе; Кондитерские изделия,"Курская, 24",1 этаж,192007,Волковское,Фрунзенский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,3.8,17,89110987341,,,,,http://galata-restaurant.ru,,,https://vk.com/galata_bakery,https://wa.me/79110987341,,,,,,,,59.911874,30.350018,https://2gis.com/firm/70000001054711643
Good Itea,бабл ти кафе,Кофейни; Кондитерские изделия,"Гороховая, 45а",1 этаж; слева от арки,190031,Сенной,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,5.0,396,89516606292,,,gooditea@yandex.ru,,,,,https://vk.com/good_itea,https://wa.me/79516606292,,,,,https://t.me/gooditea,,,59.928049,30.322463,https://2gis.com/firm/70000001067978369
Труффальдино,кофейня,Кофейни; Продажа кофе,"11-я линия В.О., 54",1 этаж; бутик-отель За Кулисами,199178,Васильевский,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+03:00,5.0,3,88127111154,89650702267,,,,http://zakulisamispb.ru/coffee/,,,https://vk.com/truffaldino_coffee,,,,,,https://t.me/+79650702267,,,59.944257,30.270206,https://2gis.com/firm/70000001065941128
Good Cup,кофейня,Кофейни,"Пискарёвский проспект, 145 к6 ст1",,195273,Полюстрово,Красногвардейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-21:00; Вт: 07:00-21:00; Ср: 07:00-21:00; Чт: 07:00-21:00; Пт: 07:00-21:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,5.0,7,89958890925,,,good.cup.cafe@mail.ru,,,,,,https://wa.me/79958890925,,,,,,,,60.002763,30.450687,https://2gis.com/firm/70000001077142860
Coffit,кофейня,Кофейни; Кондитерские изделия; Продажа кофе,"набережная канала Грибоедова, 15",цокольный этаж,191186,Дворцовый,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-23:00,+03:00,4.0,136,89207621117,,,lda2004@inbox.ru,,http://Coffit.spb.ru,,,,https://wa.me/79207621117,,,,,,,,59.936715,30.326515,https://2gis.com/firm/70000001031423727
Double bubble tea,кафе,Кофейни; Доставка готовых блюд,"проспект Стачек, 99",,198302,Красненькая речка,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.4,17,89217874599,,,doublebubble.spb@yandex.ru,,http://dbtea.ru,,,https://vk.com/doublebubbletea,https://wa.me/79217874599,,,,,,,,59.858429,30.248753,https://2gis.com/firm/70000001075812733
Milanobar,кофейня,Кофейни; Продажа кофе; Продажа чая,"Невский проспект, 104",цокольный этаж,191025,Литейный,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 12:00-18:00; Вс: 12:00-18:00,+03:00,4.7,23,89119291886,,,nevskiy104@caffebonomi.ru,,,,,https://vk.com/milanobar_caffe,https://wa.me/79119291886,,,,,https://t.me/+79119291886,,,59.932001,30.356723,https://2gis.com/firm/70000001024381433
Lines coffee & breakfast,кафе,Кафе; Кофейни; Пекарни,"26-я линия В.О., 7",1 этаж,199106,Муниципальный округ №7,Василеостровский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.8,41,89934922425,,,,,http://linescafe.tilda.ws,http://t.me/linescoffeebakery,,https://vk.com/club220416290,https://wa.me/79934922425,,,,,,,,59.930692,30.262362,https://2gis.com/firm/70000001068838988
Вкусно — и точка,кафе,Кофейни,"бульвар Новаторов, 11 к2 лит А",2 этаж,198216,Княжево,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 07:30-23:00; Вт: 07:30-23:00; Ср: 07:30-23:00; Чт: 07:30-23:00; Пт: 07:30-23:00; Сб: 07:30-23:00; Вс: 07:30-23:00,+03:00,2.0,11,,,,,,http://vkusnoitochka.ru,,,https://vk.com/vkusno_itochka,,,,,,https://t.me/vit_russia,,,59.85084,30.268169,https://2gis.com/firm/70000001034001528
Aster bakery,пекарня,Пекарни; Кофейни; Продажа кофе,"проспект Римского-Корсакова, 22",1 этаж,190068,Коломна,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,14,89213540004,,,,,http://astercafe.ru,,,,,,,,,,,,59.92253,30.295229,https://2gis.com/firm/70000001077831731
FoxВиль,креативное пространство,Антикафе; Коворкинг; Кофейни; Организация и проведение праздников,"Московский проспект, 183-185 лит А",1 этаж,196066,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00 (по предварительному звонку),+03:00,5.0,13,89533450025,,,,,http://foxvillespace.ru,,,https://vk.com/foxville_spb,,,,,,https://t.me/foxvillespacespb,,,59.856705,30.318458,https://2gis.com/firm/70000001067631281
Sibaristica Coffee Roasters,,Кофейни; Продажа кофе,"набережная Обводного канала, 199-201 лит К",1 этаж,190020,Екатерингофский,Адмиралтейский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:30-21:00; Вт: 08:30-21:00; Ср: 08:30-21:00; Чт: 08:30-21:00; Пт: 08:30-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,4.7,133,88123094216 (доп.3),,,,,http://t.me/sibaristica_coffee,http://cafe.sibaristica.com,,https://vk.com/sibaristica,,,,,,,,,59.910412,30.284126,https://2gis.com/firm/70000001035474458
Pitcher,кофейня,Кофейни; Продажа кофе,"улица Бассейная, 12н",1 этаж,196070,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.8,80,89313393043,,,,,http://pitcherbar.ru,,,,,,,,,https://t.me/pitcherbar,,,59.866139,30.314656,https://2gis.com/firm/70000001018675566
Цех85,пекарня-кондитерская,Кондитерские изделия; Пекарни; Доставка готовых блюд; Кафе-кондитерские; Кофейни,"бульвар Новаторов, 17",1 этаж,198216,Княжево,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,4.6,14,88005008985 (единый номер: пн-вс 8:00-22:00),,,info@tseh85.ru,,http://tseh85.ru,,,https://vk.com/tseh85,,,,,,https://t.me/tseh85bakery,,,59.848946,30.267434,https://2gis.com/firm/70000001028630364
Слой х Вспышка,кафе-пекарня,Кафе-кондитерские; Кофейни,"Решетникова, 12",1 этаж,196105,Московская застава,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.7,17,89219261105,,,,,http://sloy.pro,,,,,,,,,https://t.me/sloy_bakery,,,59.879034,30.324173,https://2gis.com/firm/70000001067444701
Буше,пекарня-кондитерская,Кондитерские изделия; Пекарни; Доставка готовых блюд; Кофейни,"Московский проспект, 165",1 этаж,196070,Пулковский меридиан,Московский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,3.7,56,88126405151 (единая справочная: пн-чт 9:00-18:00; пт 9:00-17:00),,,,,http://bushe.ru,http://shop.bushe.ru,,https://vk.com/bushe.bakery,,,,,,https://t.me/bushe_delivery_bot,,,59.866344,30.318794,https://2gis.com/firm/5348553839120356
Грузинские пекарни,,Пекарни; Кофейни; Доставка готовых блюд,"Дачный проспект, 21 к1 лит А",1 этаж,198217,Дачное,Кировский район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,3.8,19,89602555850,,,,,,,,,https://wa.me/79602555850,,,,,,,,59.840011,30.257515,https://2gis.com/firm/70000001059724666
Дом Флоу,кофейня,Кофейни; Продажа кофе; Продажа чая,"улица Садовая, 21а",1 этаж,191023,Муниципальный округ №78,Центральный район,Санкт-Петербург,,Санкт-Петербург,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 08:00-21:00,+03:00,4.0,53,89118209920,,,,,http://flowcoffee.ru,,,https://vk.com/flowcoffeecompany,,,,,,,,,59.930087,30.325253,https://2gis.com/firm/70000001067194148
